"519","P","2002","Câmbio médio"
"800","U","2003","Historiallinen kurssi"
"109","F","I","Type de cours IntraStat"
"519","P","2003","Câmbio histórico"
"505","J","1002","平均換算レート"
"800","U","2004","Edellisen vuoden määräpäiväkurssi"
"519","P","2004","Câmbio a data fixa do ano precedente"
"109","F","M","conversion standard au cours MOYEN"
"505","J","1003","取得時換算レート"
"800","U","B","Vakiomuunto - myyntikurssi"
"519","P","B","Conversão standard com câmbio de venda"
"505","J","1004","前年度換算レート"
"109","F","P","Conv. standard pr la budgét. des coûts"
"800","U","EURO","EMU-säädös\, kiint. kurssit"
"505","J","2001","現換算レート"
"519","P","EURO","Norma UME\, taxas de câmbio fixas"
"505","J","2002","平均換算レート"
"109","H","100*","Referenciaérték = kör értéke"
"519","P","EURX","Norma UME\, taxas de câmbio variáveis"
"800","U","EURX","EMU-säädös\, muuttuvat kurssit"
"505","J","2003","取得時換算レート"
"519","P","G","Conversão standard com câmbio de compra"
"800","U","G","Vakiomuunto - ostokurssi"
"109","H","1001","Határnapi árfolyam"
"505","J","2004","前年度換算レート"
"519","P","I","Categoria de taxa de câmbio IntraStat"
"800","U","I","Kurssityyppi IntraStat"
"109","H","1002","Átlagárfolyam"
"505","J","B","電信売買売値"
"505","J","EURO","電信売買仲値"
"800","U","M","Vakiomuunto - keskikurssi"
"109","H","1003","Történeti árfolyam"
"519","P","M","Conversão standard com câmbio médio"
"505","J","G","電信売買買値"
"519","P","P","Conversão standard p/planejamento custos"
"505","J","M","電信売買仲値"
"800","U","P","Vakiomuunto kustannussuunnittelua varten"
"109","H","1004","Előző év határnapi árfolyama"
"800","V","100*","Referensvärde = KO-val.värde"
"519","S","100*","Vl.ref.=Vl.mon.ámb.consolidac."
"505","J","P","原価計画用標準標準換算レート"
"519","S","1001","T/C en fecha clave"
"109","H","200*","Referenciaérték = kör értéke"
"505","N","1001","Peildatumkoers"
"800","V","1001","Kurs för referensdag"
"519","S","1002","Cotización media"
"109","H","2001","Határnapi árfolyam"
"800","V","1002","Genomsnittskurs"
"519","S","1003","T/C histórico"
"505","N","1002","Gemiddelde koers"
"800","V","1003","Historisk kurs"
"505","N","1003","Historische koers"
"109","H","2002","Átlagárfolyam"
"519","S","1004","T/C en fecha clave ej.ant."
"800","V","1004","Kurs för referensdag föreg.år"
"109","H","2003","Történeti árfolyam"
"505","N","1004","Peildatumkoers van het afgelopen jaar"
"519","S","200*","Vl.ref.=Vl.mon.ámb.consolidac."
"800","V","200*","Referensvärde = KO-val.värde"
"505","N","2001","Peildatumkoers"
"519","S","2001","T/C en fecha clave"
"109","H","2004","Előző év határnapi árfolyama"
"800","V","2001","Kurs för referensdag"
