"513","EURO","BEF","DEM","81999898","100","1","","00000000"
"505","B","NLG","NLG","81999898","1","1","","00000000"
"513","EURO","ESP","DEM","81999898","100","1","","00000000"
"505","B","USD","BEF","81999898","1","1","","00000000"
"513","EURO","EUR","DEM","81999898","1","1","","00000000"
"505","B","USD","ESP","81999898","1","1","","00000000"
"513","EURO","FIM","DEM","81999898","100","1","","00000000"
"505","G","CAD","BEF","81999898","1","1","","00000000"
"513","EURO","FRF","DEM","81999898","100","1","","00000000"
"505","G","CAD","ESP","81999898","1","1","","00000000"
"513","EURO","IEP","DEM","81999898","1","1","","00000000"
"505","G","DEM","NLG","81999898","1","1","","00000000"
"513","EURO","ITL","DEM","81999898","1000","1","","00000000"
"505","G","NLG","NLG","81999898","1","1","","00000000"
"505","G","USD","BEF","81999898","1","1","","00000000"
"513","EURO","LUF","DEM","81999898","100","1","","00000000"
"505","G","USD","ESP","81999898","1","1","","00000000"
"513","EURO","NLG","DEM","81999898","100","1","","00000000"
"506","B","CAD","BEF","81999898","1","1","","00000000"
"513","EURO","PTE","DEM","81999898","100","1","","00000000"
"506","B","CAD","ESP","81999898","1","1","","00000000"
"513","EURX","CAD","DEM","81999898","1","1","","00000000"
"506","B","DEM","NLG","81999898","1","1","","00000000"
"513","EURX","CHF","DEM","81999898","100","1","","00000000"
"506","B","EUR","NLG","81999898","1","1","","00000000"
"513","EURX","EUR","DEM","81999898","1","1","","00000000"
"506","B","NLG","NLG","81999898","1","1","","00000000"
"513","EURX","GBP","DEM","81999898","1","1","","00000000"
"506","B","USD","BEF","81999898","1","1","","00000000"
"513","EURX","GRD","DEM","81999898","100","1","","00000000"
"506","B","USD","ESP","81999898","1","1","","00000000"
"513","EURX","HRK","DEM","81999898","100","1","","00000000"
"104","M","GBP","IEP","80009898","1","1","EURX","00000000"
"506","EURO","ATS","BEF","81999898","1","1","","00000000"
"513","EURX","HUF","DEM","81999898","100","1","","00000000"
"104","M","GBP","ITL","80009898","1","1","EURX","00000000"
"506","EURO","ATS","ESP","81999898","1","1","","00000000"
"104","M","GRD","FIM","79989898","100","1","EURO","00000000"
"513","EURX","JPY","DEM","81999898","100","1","","00000000"
"506","EURO","ATS","NLG","81999898","100","1","","00000000"
"104","M","GRD","FIM","80009898","100","1","EURX","00000000"
"513","EURX","MXN","DEM","81999898","100","1","","00000000"
"506","EURO","BEF","ESP","81999898","1","1","","00000000"
"104","M","GRD","IEP","79989898","1","1","EURO","00000000"
"104","M","GRD","IEP","80009898","1","1","EURX","00000000"
"506","EURO","BEF","NLG","81999898","100","1","","00000000"
"513","EURX","NOK","DEM","81999898","100","1","","00000000"
"104","M","GRD","ITL","79989898","1","1","EURO","00000000"
"513","EURX","RUB","DEM","81999898","100","1","","00000000"
"506","EURO","DEM","BEF","81999898","1","1","","00000000"
"104","M","GRD","ITL","80009898","1","1","EURX","00000000"
"513","EURX","SEK","DEM","81999898","100","1","","00000000"
"506","EURO","DEM","ESP","81999898","1","1","","00000000"
"104","M","IEP","FIM","80009898","1","1","EURO","00000000"
"513","EURX","USD","DEM","81999898","1","1","","00000000"
